timestamp,sensor_id,temperature,humidity
2026-06-01 08:00:00,S6,28.71,71.91
2026-06-01 08:00:01,S10,15.43,80.43
2026-06-01 08:00:02,S4,25.28,54.69
2026-06-01 08:00:03,S8,31.11,40.72
2026-06-01 08:00:04,S10,16.88,75.7
2026-06-01 08:00:05,S5,29.38,21.19
2026-06-01 08:00:06,S9,35.67,26.43
2026-06-01 08:00:07,S5,20.22,55.79
2026-06-01 08:00:08,S2,18.76,31.08
2026-06-01 08:00:09,S1,20.98,44.56
2026-06-01 08:00:10,S6,22.74,60.55
2026-06-01 08:00:11,S2,30.43,73.01
2026-06-01 08:00:12,S8,21.36,25.26
2026-06-01 08:00:13,S7,32.81,30.77
2026-06-01 08:00:14,S2,22.38,67.42
2026-06-01 08:00:15,S6,24.59,69.41
2026-06-01 08:00:16,S2,24.04,21.45
2026-06-01 08:00:17,S9,36.38,20.62
2026-06-01 08:00:18,S10,16.81,70.2
2026-06-01 08:00:19,S1,27.0,38.92
2026-06-01 08:00:20,S1,27.69,48.53
2026-06-01 08:00:21,S10,23.62,32.58
2026-06-01 08:00:22,S6,31.2,37.33
2026-06-01 08:00:23,S1,21.83,59.25
2026-06-01 08:00:24,S4,38.2,33.05
2026-06-01 08:00:25,S4,25.64,30.06
2026-06-01 08:00:26,S6,37.87,20.96
2026-06-01 08:00:27,S3,22.55,64.98
2026-06-01 08:00:28,S6,27.29,89.38
2026-06-01 08:00:29,S4,26.87,39.73
2026-06-01 08:00:30,S2,31.14,20.74
2026-06-01 08:00:31,S10,32.02,84.47
2026-06-01 08:00:32,S4,19.53,76.33
2026-06-01 08:00:33,S8,24.4,63.33
2026-06-01 08:00:34,S5,23.17,76.33
2026-06-01 08:00:35,S6,34.88,79.68
2026-06-01 08:00:36,S7,27.39,58.63
2026-06-01 08:00:37,S7,30.19,39.33
2026-06-01 08:00:38,S6,20.28,39.65
2026-06-01 08:00:39,S9,31.83,47.56
2026-06-01 08:00:40,S2,27.31,73.17
2026-06-01 08:00:41,S7,19.48,64.26
2026-06-01 08:00:42,S1,26.09,63.53
2026-06-01 08:00:43,S9,31.22,60.98
2026-06-01 08:00:44,S9,25.4,82.21
2026-06-01 08:00:45,S2,20.63,59.52
2026-06-01 08:00:46,S8,19.42,73.76
2026-06-01 08:00:47,S1,31.42,24.8
2026-06-01 08:00:48,S1,16.09,77.45
2026-06-01 08:00:49,S10,35.72,70.98
2026-06-01 08:00:50,S9,21.82,81.16
2026-06-01 08:00:51,S5,37.63,53.03
2026-06-01 08:00:52,S6,35.38,38.62
2026-06-01 08:00:53,S7,23.28,50.91
2026-06-01 08:00:54,S4,29.28,30.84
2026-06-01 08:00:55,S5,15.6,36.9
2026-06-01 08:00:56,S9,37.16,56.67
2026-06-01 08:00:57,S7,18.72,68.68
2026-06-01 08:00:58,S7,38.18,23.41
2026-06-01 08:00:59,S10,39.1,83.19
2026-06-01 08:01:00,S6,22.9,35.45
2026-06-01 08:01:01,S7,29.58,37.58
2026-06-01 08:01:02,S5,31.22,79.66
2026-06-01 08:01:03,S6,24.0,81.82
2026-06-01 08:01:04,S7,35.18,25.66
2026-06-01 08:01:05,S9,17.92,67.81
2026-06-01 08:01:06,S9,27.67,86.44
2026-06-01 08:01:07,S7,18.52,69.11
2026-06-01 08:01:08,S7,39.49,41.69
2026-06-01 08:01:09,S5,31.8,59.03
2026-06-01 08:01:10,S3,27.95,40.72
2026-06-01 08:01:11,S10,34.63,71.7
2026-06-01 08:01:12,S10,29.87,84.31
2026-06-01 08:01:13,S8,29.16,64.61
2026-06-01 08:01:14,S7,19.36,21.65
2026-06-01 08:01:15,S8,16.64,73.72
2026-06-01 08:01:16,S8,31.77,37.94
2026-06-01 08:01:17,S5,30.0,27.63
2026-06-01 08:01:18,S5,25.31,63.73
2026-06-01 08:01:19,S6,38.53,50.35
2026-06-01 08:01:20,S6,31.8,32.79
2026-06-01 08:01:21,S8,37.96,81.97
2026-06-01 08:01:22,S3,31.4,47.69
2026-06-01 08:01:23,S2,22.02,35.18
2026-06-01 08:01:24,S3,15.37,37.11
2026-06-01 08:01:25,S8,34.18,71.6
2026-06-01 08:01:26,S9,26.96,78.19
2026-06-01 08:01:27,S7,39.85,35.79
2026-06-01 08:01:28,S8,35.9,37.73
2026-06-01 08:01:29,S4,18.85,28.5
2026-06-01 08:01:30,S3,29.99,86.98
2026-06-01 08:01:31,S4,27.29,44.51
2026-06-01 08:01:32,S2,27.04,40.4
2026-06-01 08:01:33,S7,37.66,59.73
2026-06-01 08:01:34,S7,18.7,53.3
2026-06-01 08:01:35,S7,19.43,59.85
2026-06-01 08:01:36,S1,31.65,38.65
2026-06-01 08:01:37,S9,24.17,41.51
2026-06-01 08:01:38,S6,30.14,59.16
2026-06-01 08:01:39,S3,28.05,50.23
